id,sentence
q2_3_4_page_13-0001,ĐẠI NAM NHẤT THỐNG CHÍ
q2_3_4_page_13-0002,QUYỂN I
q2_3_4_page_13-0003,KINH SƯ
q2_3_4_page_13-0004,"Kinh sư là nơi miền núi, miền biển đều họp về, đứng giữa miền Nam miền Bắc, đất đai cao ráo, non sông phẳng lặng."
q2_3_4_page_13-0005,"Đường thủy thì có cửa Thuận An, cửa Tư Hiền sâu hiểm; đường bộ thì có Hoành Sơn, ải Hải Vân chặn ngăn; sông lớn giăng phía trước, núi cao giữ phía sau, rồng cuốn hổ ngồi, hình thế vững chãi, ấy là do trời đất xếp đặt, thật là thượng đô của nhà vua."
q2_3_4_page_13-0006,"Xem sự ghi chép trong các sách, thì thấy: từ đời Đường Nghiêu đến đời Thành Chu, đây là đất Việt Thường thị, đời Hán là quận Nhật Nam; từ An Nam dựng nước đến đời Trần là lộ Thuận Hoá, đời Lê là Thuận Hoá thừa tuyên."
q2_3_4_page_13-0007,"Xét: hai xứ Thuận Quảng, đời Hán là huyện Tượng Lâm, đời Tấn, Đường là nước Lâm Ấp, đời Tống là nước Chiêm Thành."
q2_3_4_page_13-0008,"Đường thư, Địa lý chí chép: giáp Châu Hoành Sơn quận có 5 huyện là đất Thuận Hoá bây giờ."
q2_3_4_page_13-0009,"Đời Lý Thánh Tông, năm Thiên huống Bảo Tượng thứ 2 (1069), vua đi đánh Chiêm Thành, bắt chúa Chiêm Thành là Chế Củ đem về, Chế Củ xin dâng ba châu Địa Lý, Ma Linh và Bố Chính để chuộc tội, vua y cho và tha cho Chế Củ về nước."
q2_3_4_page_13-0010,"Nhân năm Thái Ninh thứ 4 (1075) đời Nhân Tông đổi châu Địa Lý làm châu Lâm Bình, châu Ma Linh làm châu Minh Linh, chiêu tập nhân dân đến ở, do đấy, từ Đèo Ngang trở vào Nam mới thuộc vào bản đồ nước ta."
q2_3_4_page_13-0011,"Năm Long Phù thứ 3 (1103), chúa Chiêm Thành là Chế Ma Na lấn cướp lấy lại ba châu; năm thứ 4 vua sai Lý Thường Kiệt đi đánh, Chế Ma Na lại nộp trả ba châu này."
q2_3_4_page_13-0012,"Thần Tông năm Thiên Thuận thứ 5, Chiêm Thành cùng Chân Lạp liên kết với nhau đem quân cướp Nghệ An."
q2_3_4_page_13-0013,"Đời Trần Anh Tông năm Hưng Long thứ 14 (1306), chúa Chiêm Thành là Chế Mân sai sứ sang cầu hôn, vua gả Huyền Trân công chúa cho, Chế Mân dâng đất hai châu Ô, Lý làm lễ cưới; năm thứ 15, đổi hai châu Ô, Lý làm hai châu Thuận, Hoá."
q2_3_4_page_13-0014,"Năm thứ 20 (1312), vua thân đi đánh Chiêm Thành, đến trại Câu Chiêm (1), dụ chúa là Chế Chí ra hàng."
q2_3_4_page_13-0015,"Năm thứ 21, Chiêm Thành bị người La Hộc (2) lấn cướp, Anh Tông sai Đồ Thiên Thử làm Kinh lược sứ Nghệ An, Lâm Bình."
q2_3_4_page_14-0001,"(1) Tức Kẻ Chàm, nay là đất Quảng Nam."
q2_3_4_page_14-0002,"(2) 2) La Hộc vốn là tên nước phía Nam nước Xiêm, sau La Hộc tiến chiếm nước Xiêm, xưng là Xiêm La Hộc, từ năm Hồng Vũ thứ 10 nhà Minh của Trung Quốc gọi là Xiêm La."
q2_3_4_page_15-0001,"Dụ Tông năm Thiệu Phong thứ 13 (1353), Chiêm Thành cướp châu Hoá, vua sai Trương Hán Siêu thống lãnh các quân Thần sách để trấn giữ."
q2_3_4_page_15-0002,"Năm Đại Trị thứ 4 (1361) lấy Phạm A Song làm Tri phủ Lâm Bình (tức châu Lâm Bình, không rõ thăng làm phủ từ thời nào); lại sai Đỗ Tử Bình tuyển bổ quân lính Lâm Bình, Thuận Hoá, đắp thành Hoá Châu."
q2_3_4_page_15-0003,"Năm thứ 9 (1366), Chiêm Thành đánh cướp Lâm Bình nhưng bị Phạm A Song đánh tan; năm thứ 10, Chiêm Thành lại làm phản, vua sai Trần Thế Hưng đi đánh, đến Chiêm Động thì thua chết."
q2_3_4_page_15-0004,"Nghệ Tông năm Thiệu Khánh thứ 2 (1371), Chiêm Thành vào cướp kinh đô (Thăng Long), đốt phá cướp bóc rồi kéo quân về."
q2_3_4_page_15-0005,"Duệ Tông năm Long Khánh thứ 3 (1375), đổi phủ Lâm Bình làm phủ Tân Bình."
q2_3_4_page_15-0006,"Ngoài ra, xem phần Quảng Bình và Thừa Thiên."
q2_3_4_page_15-0007,"Bản triều Thái Tổ Gia Dụ Hoàng Đế (1) chịu mệnh trời cho, gây dựng cơ nghiệp ở miền Nam, bắt đầu đóng dinh ở Ái Tử, sau dời đến Trà Bát (Ái Tử và Trà Bát đều là tên xã, thuộc huyện Đăng Xương, gọi là Dinh Cát)."
q2_3_4_page_15-0008,"Sau đó, Hi Tông Hiếu Văn Hoàng Đế (2) lại từ Dinh Cát dời đến Phúc Yên (tên xã, thuộc huyện Quảng Điền)."
q2_3_4_page_15-0009,"(1) Tên là Nguyễn Hoàng, tức chúa Tiên (1558-1613)."
q2_3_4_page_15-0010,"(2) Tên là Phúc Nguyên, tức chúa Phật (1614-1635)."
q2_3_4_page_16-0001,"Thần Tông Hiếu Chiêu Hoàng Đế (1) nhận thấy Kim Long (tên xã, thuộc huyện Hương Trà) là nơi hình thế đẹp, lại dời dinh đến đấy."
q2_3_4_page_16-0002,"Đến đời Anh Tông Hiếu Nghĩa Hoàng Đế (2) lại dời dinh đến Phú Xuân (tên xã, thuộc huyện Hương Trà), gọi là Chính dinh; về sau Thế Tông Hiếu Vũ Hoàng Đế (3) mới gọi là đô thành."
q2_3_4_page_16-0003,"Những địa điểm đóng dinh đều là đất Thuận Hóa, phía bắc vượt sông Gianh, phía nam mở mang sang đất Chiêm Lạp (tức Chiêm Thành và Chân Lạp), các chúa thánh thần nổi tiếp nhau hơn hai trăm năm."
q2_3_4_page_16-0004,"Khoảng năm Giáp Ngọ, đời Duệ Tông Hiếu Định Hoàng Đế (4), bị quân Trịnh lấn chiếm, sau lại bị Tây Sơn chiếm cứ 30 năm."
q2_3_4_page_16-0005,"Thế Tổ Cao Hoàng Đế (5) ta nổi dậy, thừa mệnh trời đánh dẹp."
q2_3_4_page_16-0006,"Mùa thu năm Mậu Tuất (1778), thu phục đến Gia Định, mùa hè năm Tân Dậu (1801) lấy lại đô thành cũ, mùa hè năm Nhâm Tuất (1802) bắt được giống giặc ở phía Bắc, thống nhất đất nước, cương vực rộng lớn, phía nam đến Xiêm La, Chân Lạp, phía bắc đến Vân Nam, Lưỡng Quảng, phía đông đến biển, phía tây đến Lão Qua, Ai Lao, lại theo vết cũ, mở rộng mãi ra, đóng đô ở Phú Xuân, mới gọi là (1) Tên là Phúc Lan, tức chúa Thượng (1636-1648)."
q2_3_4_page_16-0007,"(2) Tên là Phúc Trăn, tức chúa Ngãi (1687-1691)."
q2_3_4_page_16-0008,"(3) Tên là Phúc Khoát, hiệu Từ Tế đạo nhân (1739-1765)."
q2_3_4_page_16-0009,"(4) Tên là Phúc Thuần, hiệu Khánh Phủ đạo nhân (1766-1777)."
q2_3_4_page_16-0010,"(5) Tên là Ánh, là Chủng, niên hiệu Gia Long (1802-1819)."
q2_3_4_page_17-0001,"Kinh sư. Kinh sư đóng nơi chính giữa, đường triều cống đều nhau, không khác gì nóc nhà ở cao mà bốn mặt châu vào, sao Bắc thần đứng ngôi mà các sao châu vào, nước nhà ta được vững bền như núi Thái, gây nền từ đây, thật là tốt đẹp."
q2_3_4_page_17-0002,THÀNH TRÌ
q2_3_4_page_17-0003,KINH THÀNH
q2_3_4_page_17-0004,"Chu vi 18 dặm linh, cao 1 trượng 5 thước 3 tấc, dày 5 trượng, xây gạch, mở 11 cửa: phía trước 4 cửa là Thể Nhân, Quảng Đức, Chính Nam và Đông Nam; phía tả 3 cửa là Chính Đông, Đông Bắc và Trấn Bình; phía hữu hai cửa là Chính Tây và Tây Nam; phía sau hai cửa là Chính Bắc và Tây Bắc; hào chu vi 19 dặm linh, rộng 7 trượng 5 thước, sâu 1 trượng."
q2_3_4_page_17-0005,Các cửa thành đều bắc cầu đá qua hào.
q2_3_4_page_17-0006,Mặt trước chính giữa xây Kỳ đài.
q2_3_4_page_17-0007,"Bốn phía trên mặt thành xây 24 pháo đài: phía trước là Nam Minh, Nam Hưng, Nam Thắng, Nam Chính, Nam Xương và Nam Hanh; phía tả là Đông Thái, Đông Trường, Đông Gia, Đông Phụ, Đông Vĩnh và Đông Bình; phía hữu là Tây Thành, Tây Tuy, Tây Tĩnh, Tây Dực, Tây An và Tây Trinh; phía sau là Bắc Định, Bắc Hòa, Bắc Thanh, Bắc Trung, Bắc Thuận và Bắc Điện; lại đặt 455 xưởng súng và điểm canh, 95 phường."
q2_3_4_page_18-0001,"Trong thành đào sông gọi là Ngự Hà, xây 3 cầu đá qua sông, từ đường cái cửa Đông Nam, đến cửa Chính Bắc gọi là cầu Ngự Hà, từ phía bắc hoàng thành đến phía tả cung Khánh Ninh gọi là cầu Khánh Ninh, từ đường cái cửa Chính Nam đến cửa Tây Bắc gọi là cầu Vĩnh Lợi."
q2_3_4_page_18-0002,"Ngoài ra còn có hai cầu gỗ: từ phía tây trước cửa Kinh Thương đến phía nam ruộng Tịch Điền gọi là cầu Bác Tế, từ con đường phía hữu hoàng thành đến phía tả cung Bảo Định gọi là cầu Bình."
q2_3_4_page_18-0003,Mặt thành về phía đông và phía tây xây hai cửa cống gọi là Đông Thành thủy quan và Tây Thành thủy quan.
q2_3_4_page_18-0004,"Lại đầu quách về phía tây xây cầu đá gọi là cầu Hoàng Tế, đầu quách về phía đông bắc cầu gỗ gọi là cầu Hàm Tế."
q2_3_4_page_18-0005,Khu đất ngoài quách và ngoài hào chu vi 20 dặm.
q2_3_4_page_18-0006,"Trước tới sông Hương, có hai bến đò, bến cửa Chính Nam và bến cửa Đông Nam."
q2_3_4_page_18-0007,"Ba mặt tâ, hữu và sau thành đào sông Hộ thành đều bắc cầu gỗ, ở đầu quách cửa Chính Đông đầu thành gọi là cầu Đông Gia, đầu quách cửa Chính Bắc ngoài thành gọi là cầu Đông Hội, ngoài quách cửa Chính Bắc ngoài thành gọi là cầu Trường Lợi, đầu quách phía tây nam gọi là cầu Lợi Tế, ngoài quách cửa Chính Tây gọi là cầu Cửu Lợi, ở đầu quách phía Tây Bắc gọi là cầu Tịnh Tế."
q2_3_4_page_18-0008,"Về góc đông bắc ngoài cửa Trấn Bình lại xây một tầng thành chu vi 246 trượng 7 thước 4 tấc, cao 1 trượng 2 thước 3 tấc, dày 3 trượng 5 thước, hào rộng 7 trượng."
q2_3_4_page_19-0001,"Kính xét: kinh thành năm Gia Long thứ 4 đắp ""đất; năm thứ 17 xây gạch mặt trước và mặt hữu năm Minh Mệnh thứ 3, xây gạch mặt sau và mặt tả."
q2_3_4_page_19-0002,"Ngự Hà: đầu đời Gia Long đào từ phía tả sông Hộ Thành đến Vũ Khố, gọi là Thanh Câu; năm Minh Mệnh thứ 6 lại đào từ phía tây Vũ Khố thông đến phía hữu sông Hộ Thành và cho tên hiện nay."
q2_3_4_page_19-0003,Cửa Thể Nhân: đầu đời Gia Long gọi là cửa Thể Nguyên; năm Minh Mệnh thứ 17 đổi tên hiện nay.
q2_3_4_page_19-0004,Đài Trấn Bình và cửa Trấn Bình: đầu đời Gia Long gọi là đài Thái Bình và cửa Thái Bình; năm Minh Mệnh thứ 17 đổi tên hiện nay.
q2_3_4_page_19-0005,"Cầu Ngự Hà: đầu đời Gia Long bắc cầu gỗ gọi là cầu Thanh Câu; năm Minh Mệnh thứ 1 đổi xây gạch và đổi tên hiện nay, hai bên cầu xây lan can, làm nhà trên cầu để hành khách trú chân trong khi mưa nắng."
q2_3_4_page_19-0006,Cầu Khánh Ninh: xây đắp từ năm Minh Mệnh thứ 2.
q2_3_4_page_19-0007,Về bờ bắc hai cầu đều kính khắc văn thánh chế vào bia và dựng nhà bia.
q2_3_4_page_19-0008,Cầu Vĩnh Lợi: bắc từ năm Minh Mệnh thứ 7 đời Thiệu Trị xây nhà ngói trên cầu.
q2_3_4_page_19_20-0001,"Cửa cống Đông Thành đầu đời Gia Long bắc cầu gỗ gọi là cầu Thanh Long; năm Minh Mệnh thứ 17 xây cầu gạch, dưới cầu đặt cánh cửa để tiện mở đóng, trên cầu xây lan can và có xưởng đại bác và đổi tên như hiện nay."
q2_3_4_page_20-0001,"Cửa cống Tây Thành xây năm Minh Mệnh thứ 7, cũng đặt cánh cửa ở dưới, trên cầu đặt xưởng đại bác và cho tên hiện nay."
q2_3_4_page_20-0002,"Cầu Gia Hội: trước gọi là cầu An Hội, năm Minh Mệnh thứ 18 đổi tên hiện nay."
q2_3_4_page_20-0003,"Cầu Đông Gia: trước gọi là cầu Đông Hoa (ba), năm Minh Mệnh thứ 20 đổi tên hiện nay."
q2_3_4_page_20-0004,Cầu Đông Hội: trước gọi là cầu Thanh Tước năm Minh Mệnh thứ 19 đổi tên hiện nay.
q2_3_4_page_20-0005,"Cầu Lợi Tế: trước gọi là cầu Bạch Hổ, năm Minh Mệnh thứ 20 đổi tên hiện nay."
q2_3_4_page_20-0006,"Cầu Cửu Lợi: trước gọi là cầu Bạch Yến, năm Minh Mệnh thứ 2 đổi tên là Kim Long, năm thứ 20 đổi tên hiện nay."
q2_3_4_page_20-0007,"Cầu Tịnh Tế: trước là cầu Huyền Hạc, năm Minh Mệnh thứ 20 đổi tên hiện nay."
q2_3_4_page_20-0008,Cầu Trường Lợi: trước gọi là cầu Huyền Yến năm Minh Mệnh thứ 20 đổi tên hiện nay.
q2_3_4_page_20-0009,"Lại xét: thành cũ Phú Xuân ở góc đông nam trong Kinh thành bây giờ, đến đời Anh Tông Hiếu Nghĩa Hoàng Đế, năm Đinh Mão (1687) bắt đầu dời dựng phủ mới ở đấy, lấy núi trước mặt làm tiền án, tức núi Ngự Bình bây giờ, đắp tường quanh, xây cung thất, trước mặt đào hồ lớn, thể chế to đẹp; lại thấy rằng ở thượng lưu sông chảy xói vào phía hữu, bèn dựng cây tháp (1) ở bờ sông để trấn."
q2_3_4_page_20-0010,"Năm Giáp Tuất thứ 16 (1754), Thế Tông Hiếu Vũ Hoàng Đế mới cho xây dựng đô ấp, gọi là Đô thành, dựng điện Kim Hoa, điện Quang Hoa, các Dao Trì, các Triêu Dương, điện Quang Văn, nhà Tựu Lạc, nhà chính Quan, nhà Trung Hòa, nhà Di Nhiên, nhà Sương Xuân; lại dựng đình Thụy Vân, hiên Đồng Lạc, am Nội Viện, đình Giáng Hương."
q2_3_4_page_20-0011,"Ở thượng lưu sông Hương lại dựng phủ Dương Xuân, điện Trường Lạc, hiên Duyệt Vũ."
q2_3_4_page_20-0012,"Ở hậu uyến thì có núi giả, đá lạ, ao vuông, hồ quanh, phi kiều, thủy tạ; trong ngoài xây hai lần tường, đắp hình rồng, hổ, lân, phượng, cỏ, hoa, v v."
q2_3_4_page_20-0013,"Các Triêu Dương trông ra sông, qui chế rất là rộng rãi."
q2_3_4_page_20-0014,"Phía tả trên dưới Đô thành la liệt từng dãy trại quân và nhà quan; phần ngoài Đô thành thì chợ phố liền nhau; dưới sông thì thuyền chài, tàu buôn, ngược xuôi như mắc cửi."
q2_3_4_page_20-0015,Thật là một đô hội lớn.
q2_3_4_page_21-0001,(1) Tức là tháp chùa Thiên Mụ.
q2_3_4_page_22-0001,HOÀNG THÀNH
q2_3_4_page_22-0002,"Chu vi 4 dặm linh, cao 1 trượng 5 thước, dày 2 thước 6 tấc, xây gạch, nam và bắc đều dài 151 trượng 5 thước, đông và tây đều dài 155 trượng 5 thước, mở 4 cửa: phía trước là Ngọ Môn, phía tả là cửa Hiển Nhân, phía hữu là cửa Chương Đức, phía sau là cửa Hòa Bình."
